time,cpi_mom,cpi_yoy,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,interest_rate,month,year,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std,cpi_mom_diff
2009-11-01,100.55,104.35,100.76666666666665,104.61999999999999,4.610655116218661,4.647750633523209,1.3599999999999994,5.948396491326974,11,2009,100.35666666666667,0.4478703816818989,108.09833333333334,6.31945600842547,100.55
2009-12-01,101.38,106.52,101.09666666666665,106.16333333333331,4.6188758330442035,4.668332760945732,2.1700000000000017,4.877305941998565,12,2009,100.52833333333332,0.4073603125520404,106.98416666666667,5.115414243127174,101.38
2010-01-01,101.36,107.62,101.56666666666666,107.53333333333332,4.618678536012884,4.678606504061274,1.1000000000000085,4.623131917821255,1,2010,100.615,0.4654909431792654,106.16250000000001,3.9310214379286927,101.36
2010-02-01,101.96,108.46,101.35666666666667,108.51333333333332,4.6245805795079145,4.686381441412914,0.8399999999999892,4.555242785187239,2,2010,100.68083333333333,0.5902612415985476,105.63666666666666,2.982580741369507,101.96
2010-03-01,100.75,109.46,100.94999999999999,109.05,4.612642200826793,4.695559185715772,1.0,4.592094857517281,3,2010,100.7575,0.5259471974881199,105.4875,2.7084887601089944,100.75
2010-04-01,100.14,109.23,100.38666666666666,109.24666666666666,4.606569206901798,4.693455750855452,-0.22999999999998977,4.961449145292948,4,2010,100.74000000000001,0.5439251285376431,105.48750000000001,2.7084887601089944,100.14
2010-05-01,100.27,109.05,100.21,108.99,4.607866547535834,4.691806492647638,-0.18000000000000682,5.170575987408322,5,2010,100.72583333333334,0.5545589292949374,105.77666666666666,2.8978748744345735,100.27
2010-06-01,100.22,108.69,100.18333333333334,108.64333333333332,4.607367769531579,4.688499793575096,-0.35999999999999943,5.13834539966501,6,2010,100.69833333333334,0.5719795503868451,106.17250000000001,2.948164683324258,100.22
2010-07-01,100.06,108.19,100.17,108.35333333333331,4.605770006060059,4.683888940699482,-0.5,5.413591624518012,7,2010,100.66000000000001,0.5997575267632816,106.57916666666665,2.8524358277646815,100.06
2010-08-01,100.23,108.18,100.53333333333335,108.42999999999999,4.607467545036775,4.683796506443281,-0.009999999999990905,5.006500945938954,8,2010,100.65916666666668,0.6004007500046757,107.09666666666665,2.479091964751896,100.23
2010-09-01,101.31,108.92,100.86333333333334,108.92,4.618185123065586,4.690613667805559,0.7399999999999949,5.726767038578658,9,2010,100.71666666666665,0.6286830872884699,107.63833333333334,2.0346401662360534,101.31
