time,cpi_mom,cpi_yoy,oil_price,gold_price,interest_rate,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,month,year,cpi_mom_diff,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std
2016-05-01,100.54,102.28,49.1,1217.5,14.13,100.44333333333333,102.18666666666667,4.610555658264429,4.627714150422986,0.39000000000000057,5,2016,0.21000000000000796,100.18833333333333,0.2489919068903756,100.95,0.7240416863940561
2016-06-01,100.46,102.39,48.33,1320.6,14.13,100.37666666666667,102.35333333333331,4.609759638321899,4.628789051586725,0.10999999999999943,6,2016,-0.0800000000000125,100.1975,0.25736867789918766,101.06583333333334,0.8353927582915975
2016-07-01,100.13,102.39,41.6,1357.5,14.13,100.23,102.44999999999999,4.606469341719712,4.628789051586725,0.0,7,2016,-0.3299999999999983,100.19749999999999,0.25736867789918766,101.19,0.9154035374432504
2016-08-01,100.1,102.57,44.7,1311.4,14.125,100.25666666666666,102.76666666666665,4.6061696863211745,4.630545492319319,0.1799999999999926,8,2016,-0.030000000000001137,100.21166666666666,0.24572095531055924,101.35333333333334,0.9754004616597414
2016-09-01,100.54,103.34,48.24,1317.1,14.13,100.49000000000001,103.32999999999998,4.610555658264429,4.638024522859038,0.7700000000000102,9,2016,0.44000000000001194,100.27416666666666,0.22305557127935882,101.63166666666667,1.029172954219524
2016-10-01,100.83,104.08,46.86,1273.1,13.88,100.61666666666667,103.97666666666665,4.613435930405124,4.64515983420425,0.7399999999999949,10,2016,0.28999999999999204,100.33416666666666,0.26732541739961185,101.97166666666668,1.11175400592799
2016-11-01,100.48,104.51,49.44,1173.9,13.88,100.51333333333334,104.44,4.609958702719888,4.649282760606412,0.4300000000000068,11,2016,-0.3499999999999943,100.36833333333334,0.2564737567058273,102.31916666666666,1.2033170694779174
2016-12-01,100.23,104.73,53.72,1151.7,13.63,100.39,104.81666666666666,4.607467545036775,4.651385609785055,0.21999999999999886,12,2016,-0.25,100.38583333333332,0.23696790474409568,102.66333333333334,1.2563607858582506
2017-01-01,100.46,105.21,52.81,1211.4,12.88,100.30666666666667,104.98333333333333,4.609759638321899,4.655958352820196,0.47999999999998977,1,2017,0.22999999999998977,100.42416666666666,0.20375824950774243,103.03083333333335,1.3057805630303252
2017-02-01,100.23,105.01,54.01,1253.9,12.13,100.3,104.94999999999999,4.607467545036775,4.654055583717902,-0.19999999999998863,2,2017,-0.22999999999998977,100.40833333333335,0.21135206876140375,103.34166666666668,1.2950242772966756
